[2026-04-13T21:19:11.821+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nyc_taxi_daily_etl.transform manual__2026-04-13T20:57:14.052487+00:00 [queued]>
[2026-04-13T21:19:11.827+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nyc_taxi_daily_etl.transform manual__2026-04-13T20:57:14.052487+00:00 [queued]>
[2026-04-13T21:19:11.828+0000] {taskinstance.py:2171} INFO - Starting attempt 2 of 3
[2026-04-13T21:19:11.839+0000] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): transform> on 2026-04-13 20:57:14.052487+00:00
[2026-04-13T21:19:11.854+0000] {standard_task_runner.py:60} INFO - Started process 515 to run task
[2026-04-13T21:19:11.858+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'nyc_taxi_daily_etl', 'transform', 'manual__2026-04-13T20:57:14.052487+00:00', '--job-id', '76', '--raw', '--subdir', 'DAGS_FOLDER/nyc_taxi_etl.py', '--cfg-path', '/tmp/tmp7rb8fct9']
[2026-04-13T21:19:11.862+0000] {standard_task_runner.py:88} INFO - Job 76: Subtask transform
[2026-04-13T21:19:11.915+0000] {task_command.py:423} INFO - Running <TaskInstance: nyc_taxi_daily_etl.transform manual__2026-04-13T20:57:14.052487+00:00 [running]> on host ce933bb4fe18
[2026-04-13T21:19:12.519+0000] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='annjan' AIRFLOW_CTX_DAG_ID='nyc_taxi_daily_etl' AIRFLOW_CTX_TASK_ID='transform' AIRFLOW_CTX_EXECUTION_DATE='2026-04-13T20:57:14.052487+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-04-13T20:57:14.052487+00:00'
[2026-04-13T21:19:12.576+0000] {logging_mixin.py:188} INFO - Columns in file: ['VendorID', 'tpep_pickup_datetime', 'tpep_dropoff_datetime', 'passenger_count', 'trip_distance', 'RatecodeID', 'store_and_fwd_flag', 'PULocationID', 'DOLocationID', 'payment_type', 'fare_amount', 'extra', 'mta_tax', 'tip_amount', 'tolls_amount', 'improvement_surcharge', 'total_amount', 'congestion_surcharge', 'airport_fee']
[2026-04-13T21:19:12.577+0000] {logging_mixin.py:188} INFO - Reading: ['tpep_pickup_datetime', 'fare_amount', 'total_amount', 'trip_distance']
[2026-04-13T21:19:12.897+0000] {logging_mixin.py:188} INFO - Raw rows: 3,066,766
[2026-04-13T21:19:13.287+0000] {logging_mixin.py:188} INFO - After filtering: 2,992,011 rows (removed 74,755)
[2026-04-13T21:19:14.139+0000] {logging_mixin.py:188} INFO - Rows after datetime clean: 2,992,011
[2026-04-13T21:19:14.553+0000] {logging_mixin.py:188} INFO - Transform complete — 35 daily records
[2026-04-13T21:19:14.561+0000] {logging_mixin.py:188} INFO -      trip_date  total_trips  gross_revenue  avg_fare  avg_distance
0   2008-12-31            1          80.55     70.00         17.76
1   2022-10-25            5         211.96     34.80          2.15
2   2022-12-31           25         658.23     16.63          3.31
3   2023-01-01        74216     2296235.90     22.06          4.42
4   2023-01-02        63758     2002015.73     22.25          4.63
5   2023-01-03        83452     2453820.73     20.22          3.94
6   2023-01-04        92781     2613783.57     19.18          3.60
7   2023-01-05        98650     2700981.13     18.53          3.43
8   2023-01-06       100124     2678675.22     17.97          3.27
9   2023-01-07       102428     2630555.72     17.73          3.29
10  2023-01-08        82850     2368199.47     19.91          4.02
11  2023-01-09        83180     2341541.08     19.02          3.64
12  2023-01-10        97666     2599396.85     17.79          3.21
13  2023-01-11       103691     2735511.07     17.56          3.16
14  2023-01-12       108769     3021111.19     18.64          3.35
15  2023-01-13       107899     3044995.34     18.88          3.49
16  2023-01-14       110077     2884326.20     17.99          3.26
17  2023-01-15        94431     2571652.24     18.80          3.63
18  2023-01-16        77996     2264514.10     20.03          4.05
19  2023-01-17        98549     2776789.24     18.93          3.49
20  2023-01-18       103785     2830376.03     18.23          3.25
21  2023-01-19       112176     3033997.29     18.11          3.08
22  2023-01-20       106973     2893854.50     18.10          3.24
23  2023-01-21       109487     2739890.10     17.16          3.08
24  2023-01-22        87559     2423049.94     19.10          3.74
25  2023-01-23        87463     2399676.51     18.39          3.45
26  2023-01-24       101504     2694385.61     17.66          3.11
27  2023-01-25       106681     2775262.20     17.25          2.95
28  2023-01-26       112202     3063642.08     18.22          3.24
29  2023-01-27       109061     2938983.34     17.95          3.22
30  2023-01-28       109074     2738443.08     17.22          3.03
31  2023-01-29        85930     2385814.46     19.17          3.77
32  2023-01-30        81457     2277703.54     18.83          3.56
33  2023-01-31        98101     2639447.24     18.05          3.09
34  2023-02-01           10         313.81     22.02          4.57
[2026-04-13T21:19:14.661+0000] {python.py:201} INFO - Done. Returned value was: None
[2026-04-13T21:19:14.679+0000] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=nyc_taxi_daily_etl, task_id=transform, execution_date=20260413T205714, start_date=20260413T211911, end_date=20260413T211914
[2026-04-13T21:19:14.731+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2026-04-13T21:19:14.767+0000] {taskinstance.py:3281} INFO - 1 downstream tasks scheduled from follow-on schedule check
